NFC;TITULO;ALBUM;ESTRUCTURA;TIPO;PITCH;UBI;CARATULA
1q2w3e;A1. High Pumping (Original Version);Toni Phobia & Dj Charles - High Pumping;4i+4h1+4s1+4h2+2s2+4h3+8s3-8f;Melodia;7,66;1-074;1-074.png
1q2w3e;B1. High Pumping (Octa Version);Toni Phobia & Dj Charles - High Pumping;4i+4h1+2s1+6h2+4s2-8f;Jumper;7,96;1-074;1-074.png
1q2w3e;B2. High Pumping (Base Version);Toni Phobia & Dj Charles - High Pumping;2i+4h1+2s1+4h2+8s2-4f;Base;7,96;1-074;1-074.png
1q2w3ex;A1. Diabolica;Xavi Metralla - Diabolica;4i+4h1+3s1+4h2+2s2+4h3+8s3-8f;Melodia;4,78;1-075;1-075.png
1q2w3ex;B1. Vibrations Remix;Xavi Metralla - Diabolica;4i+4h1+3s1+4h2+2s2+4h3+8s3-8f;Base;7,36;1-075;1-075.png
1q2w3ex;B2. Happy Melody;Xavi Metralla - Diabolica;4i+4h1+3s1+4h2+2s2+4h3+8s3-8f;Melodia;7,36;1-075;1-075.png
1q2w3em;A1 Game over 3;Buenri with Ruboy - Game Over 3;"4i+6h1+(16""+6)s1+6h2+(12""+28""+8"")s2-6f";Melodia;2,86;5-016;5-016.png
1q2w3em;A2 Base Over;Buenri with Ruboy - Game Over 3;4i+6h1+2s1+8h2+1s2-8f;Base;2,84;5-016;5-016.png
1q2w3em;B1 Game Over I - Vibrations;Buenri with Ruboy - Game Over 3;2i+4h1+4s1+6h2+4s2-12f;Melodia;3,42;5-016;5-016.png
1q2w3em;B2 Game Over II - Start;Buenri with Ruboy - Game Over 3;4i+6h1+3s1+4h2+2s2+2h3+6s3-10f;Melodia;5,90;5-016;5-016.png
MS001;A1. Ruboy Vs Aier - Rita La Cantaora;Ruboy Records & Pure Makina - Makina Station Reconnected EP1;"4i+(4+8"")h1+6s1+4h2+1s2+6h3+2s3-8f";cantada;2,94;5-001;5-001.png
MS001;A2. Ruboy vs Aier - Aleluya;Ruboy Records & Pure Makina - Makina Station Reconnected EP1;2i+4h1+4s1+4h2+2s2+2h3+8s3-8f;melodia;-0,02;5-001;5-001.png
MS001;B1. Insert Coin - The Ultimate;Ruboy Records & Pure Makina - Makina Station Reconnected EP1;2i+6h1+4s1+4h2+1s2+4h3+6s3-8f;melodia;2,82;5-001;5-001.png
MS001;B2. Ruboy Vs Caesar - Overtrack 3;Ruboy Records & Pure Makina - Makina Station Reconnected EP1;4i+4h1+4s1+4h2+2s2+4h3+8s3-8f;base;2,80;5-001;5-001.png
MS002;A1. Insert Coin - Makina Station;Ruboy Records & Pure Makina - Makina Station Reconnected EP2;2i+4h1+4s1+4h2+2s2+4h3+6s3-8f;melodia;2,96;5-002;5-002.png
MS002;A2. DJ Puchy - Overclock;Ruboy Records & Pure Makina - Makina Station Reconnected EP2;3i+3h1+3s1+4h2+2s2+2h3+4s3-8f;melodia;0,60;5-002;5-002.png
MS002;B1. Ruboy - Makina A Muerte;Ruboy Records & Pure Makina - Makina Station Reconnected EP2;;;2,96;5-002;5-002.png
MS002;B2. Aier vs Nos - The New Legends;Ruboy Records & Pure Makina - Makina Station Reconnected EP2;3i+6h1+2s1+4h2+2s2+4h3+5s3-8f;melodia;1,72;5-002;5-002.png
MS003;A1. Dj Sami & Dj Kubik - Mistake 101;Ruboy Records & Pure Makina - Vinyl Factory;6i+4h1+4s1+4h2+2s2+4h3+2s3-10f;melodia rh1;2,96;5-003;5-003.png
